original_user_id,mapped_user_id
420890,1346
281240,1347
245719,1348
225753,1349
169873,1350
113366,1351
47928,1352
103405,1353
98909,1354
8270765,1355
1821669,1356
159654,1357
103693,1358
76522,1359
108076,1360
49543,1361
653443,1362
280373,1363
142378,1364
101861,1365
9314127,1366
41742,1367
99134,1368
20767,1369
99010,1370
100044,1371
7245812,1372
59459,1373
7284967,1374
1426795,1375
1346753,1376
209810,1377
714202,1378
710991,1379
493343,1380
459181,1381
262864,1382
216656,1383
137774,1384
135270,1385
78962,1386
117936,1387
116726,1388
66440,1389
10309408,1390
6684058,1391
8033771,1392
7245813,1393
8232092,1394
418149,1395
185344,1396
6823130,1397
6328241,1398
1311630,1399
2133320,1400
1805921,1401
1302749,1402
637925,1403
511869,1404
313689,1405
113029,1406
111203,1407
106050,1408
106035,1409
61191,1410
101891,1411
6632519,1412
172512,1413
157986,1414
159397,1415
155075,1416
107606,1417
102320,1418
5844729,1419
9792493,1420
6767224,1421
351810,1422
241750,1423
285021,1424
153468,1425
104996,1426
128098,1427
116557,1428
107618,1429
7245814,1430
6246084,1431
163891,1432
113299,1433
11088108,1434
10828318,1435
9951982,1436
10700366,1437
10597531,1438
10373712,1439
10450355,1440
10496880,1441
9955114,1442
10261956,1443
10375149,1444
9540548,1445
10288319,1446
9759757,1447
10195914,1448
9907511,1449
9705569,1450
9276894,1451
8634343,1452
8532258,1453
8385511,1454
8338741,1455
7720743,1456
7592948,1457
7543594,1458
7274840,1459
6212344,1460
6129741,1461
176407,1462
6006136,1463
5997172,1464
611729,1465
5853247,1466
1885876,1467
2202644,1468
2160790,1469
2160848,1470
502926,1471
2131357,1472
2122690,1473
2107304,1474
1845568,1475
458153,1476
2005256,1477
1308468,1478
1877332,1479
1853495,1480
1422348,1481
1463406,1482
1359051,1483
1333717,1484
1366626,1485
1359335,1486
1350934,1487
1348082,1488
1337600,1489
403745,1490
1329752,1491
1323342,1492
1308993,1493
627860,1494
781800,1495
773781,1496
753493,1497
699043,1498
699531,1499
701882,1500
699671,1501
655230,1502
678269,1503
670966,1504
675543,1505
674917,1506
420131,1507
639084,1508
668492,1509
661533,1510
659974,1511
641090,1512
174289,1513
630497,1514
617208,1515
621429,1516
622598,1517
595335,1518
601295,1519
600434,1520
583152,1521
551738,1522
571768,1523
239977,1524
560323,1525
535100,1526
498114,1527
566769,1528
565044,1529
566329,1530
534749,1531
448897,1532
557558,1533
551813,1534
520837,1535
518440,1536
529904,1537
522393,1538
445391,1539
506107,1540
400859,1541
429978,1542
495481,1543
493000,1544
478442,1545
277318,1546
485321,1547
485766,1548
469488,1549
470756,1550
139338,1551
432290,1552
464054,1553
455493,1554
440023,1555
429586,1556
427891,1557
134523,1558
424939,1559
423440,1560
422032,1561
407378,1562
414342,1563
407328,1564
410113,1565
409833,1566
404919,1567
394022,1568
394576,1569
393029,1570
387653,1571
386568,1572
381091,1573
379095,1574
378236,1575
376990,1576
374581,1577
375022,1578
327949,1579
159332,1580
370659,1581
369661,1582
368849,1583
174894,1584
357394,1585
360847,1586
359799,1587
352674,1588
347227,1589
346237,1590
286687,1591
340966,1592
324310,1593
234951,1594
327260,1595
324679,1596
324709,1597
316622,1598
318888,1599
318480,1600
311274,1601
296599,1602
304540,1603
304007,1604
266135,1605
296689,1606
295463,1607
33454,1608
291785,1609
287387,1610
289398,1611
283290,1612
276552,1613
266835,1614
267656,1615
254131,1616
259134,1617
251676,1618
256419,1619
226285,1620
252601,1621
194960,1622
247067,1623
240734,1624
242139,1625
238770,1626
171859,1627
238444,1628
236472,1629
231479,1630
235989,1631
234356,1632
233339,1633
229692,1634
228915,1635
145652,1636
228134,1637
226738,1638
216006,1639
213416,1640
211348,1641
127791,1642
188835,1643
186210,1644
203318,1645
202229,1646
199729,1647
189160,1648
195464,1649
193011,1650
191120,1651
186408,1652
58598,1653
180639,1654
180737,1655
179761,1656
174088,1657
167797,1658
170847,1659
156524,1660
166364,1661
166420,1662
164945,1663
154683,1664
135590,1665
98399,1666
115111,1667
147382,1668
147504,1669
135694,1670
134947,1671
134978,1672
129614,1673
131481,1674
76853,1675
125338,1676
113209,1677
119096,1678
106465,1679
117992,1680
113093,1681
109691,1682
105281,1683
102255,1684
217338,1685
687267,1686
219030,1687
160909,1688
50263,1689
102956,1690
377173,1691
228651,1692
186128,1693
108651,1694
7758276,1695
87918,1696
103608,1697
7769041,1698
8367048,1699
8262847,1700
7502044,1701
37477,1702
7245819,1703
6239218,1704
750084,1705
1487916,1706
2288321,1707
1830691,1708
1910283,1709
174220,1710
1841332,1711
533383,1712
454561,1713
419058,1714
430913,1715
456178,1716
417038,1717
380622,1718
315061,1719
284143,1720
253833,1721
242596,1722
97992,1723
197739,1724
175679,1725
133420,1726
105071,1727
9961695,1728
10635184,1729
6128502,1730
9593928,1731
9301208,1732
8045539,1733
8340709,1734
6513107,1735
6962883,1736
8003899,1737
8023964,1738
7680587,1739
6686710,1740
741462,1741
604865,1742
187870,1743
210074,1744
2147190,1745
6420862,1746
6287903,1747
6234515,1748
406719,1749
1494191,1750
1422493,1751
1856546,1752
614038,1753
1453815,1754
1436197,1755
1408908,1756
1357970,1757
1344115,1758
402707,1759
612078,1760
721998,1761
547909,1762
515321,1763
510772,1764
459759,1765
456877,1766
444254,1767
384460,1768
348007,1769
350083,1770
300531,1771
355439,1772
86880,1773
315798,1774
309361,1775
298201,1776
211916,1777
240440,1778
235189,1779
221506,1780
222881,1781
190746,1782
219458,1783
216870,1784
105722,1785
205585,1786
194048,1787
197003,1788
182675,1789
88929,1790
159076,1791
154651,1792
64598,1793
132197,1794
140024,1795
135421,1796
133655,1797
128153,1798
122263,1799
100588,1800
126119,1801
125160,1802
123980,1803
120366,1804
25525,1805
114558,1806
113519,1807
113397,1808
22735,1809
38010,1810
56518,1811
107842,1812
106567,1813
103296,1814
38840,1815
106091,1816
105427,1817
102376,1818
104790,1819
9139696,1820
8658088,1821
8446515,1822
7688531,1823
7944389,1824
6931830,1825
5835349,1826
419360,1827
5989456,1828
1837363,1829
391005,1830
483140,1831
669129,1832
603548,1833
424646,1834
389569,1835
120927,1836
91263,1837
276472,1838
33377,1839
190377,1840
180840,1841
111671,1842
41954,1843
9819329,1844
10365071,1845
9439965,1846
8854881,1847
425123,1848
6312190,1849
2291071,1850
1929669,1851
1330026,1852
1402575,1853
655192,1854
731773,1855
568263,1856
342496,1857
27950,1858
491514,1859
496669,1860
309655,1861
244376,1862
205529,1863
207483,1864
145530,1865
113552,1866
111611,1867
105853,1868
106250,1869
91441,1870
105818,1871
105142,1872
103979,1873
87403,1874
10836118,1875
10236535,1876
1480059,1877
596717,1878
470386,1879
258283,1880
255168,1881
245479,1882
187481,1883
179810,1884
175774,1885
175318,1886
152277,1887
28526,1888
103382,1889
10460088,1890
7245820,1891
106289,1892
104663,1893
23680,1894
20325,1895
1332461,1896
625409,1897
105513,1898
153097,1899
10329308,1900
10789172,1901
10772965,1902
9188924,1903
9588210,1904
7531581,1905
8391620,1906
8008622,1907
2193513,1908
7882957,1909
7053273,1910
6036876,1911
5925617,1912
427262,1913
1455012,1914
1488587,1915
676843,1916
91345,1917
662253,1918
703579,1919
507234,1920
486582,1921
425305,1922
409978,1923
380420,1924
355679,1925
370968,1926
364795,1927
362961,1928
356109,1929
324604,1930
317073,1931
284048,1932
117757,1933
264847,1934
256776,1935
227209,1936
240661,1937
224334,1938
224678,1939
223666,1940
214878,1941
205299,1942
195994,1943
192585,1944
187284,1945
103007,1946
71998,1947
108094,1948
107803,1949
57359,1950
103546,1951
10911312,1952
11131024,1953
9901958,1954
10551399,1955
9388404,1956
9812393,1957
8447391,1958
258666,1959
8362776,1960
7004177,1961
1308660,1962
708605,1963
660655,1964
572775,1965
578530,1966
549776,1967
545604,1968
522546,1969
507137,1970
489367,1971
490399,1972
477686,1973
454810,1974
340908,1975
318282,1976
313687,1977
302942,1978
301120,1979
233772,1980
232356,1981
272209,1982
269151,1983
263332,1984
230210,1985
228000,1986
218661,1987
208151,1988
199218,1989
203104,1990
164822,1991
195840,1992
172115,1993
169442,1994
140660,1995
44351,1996
137822,1997
132177,1998
125933,1999
100914,2000
115539,2001
113705,2002
111174,2003
107196,2004
105486,2005
18131,2006
102394,2007
104083,2008
41165,2009
9241551,2010
7925590,2011
7245821,2012
6337208,2013
58805,2014
151120,2015
111648,2016
26391,2017
11654709,2018
1474707,2019
2149616,2020
12490646,2021
13,2022
12120848,2023
10640754,2024
10499651,2025
11467390,2026
11378088,2027
11241528,2028
442928,2029
7725442,2030
6593340,2031
10882834,2032
10585352,2033
10412188,2034
6986889,2035
6340527,2036
10378284,2037
10371529,2038
9587215,2039
8523687,2040
10224900,2041
10189416,2042
10285316,2043
10282827,2044
10128562,2045
10219745,2046
10099984,2047
10170869,2048
10161372,2049
10143663,2050
10068512,2051
9113813,2052
9175812,2053
10111278,2054
724894,2055
7807946,2056
10015425,2057
10011166,2058
8608962,2059
9880293,2060
9881695,2061
9424491,2062
9889384,2063
9715516,2064
9777324,2065
6402104,2066
9734785,2067
9714401,2068
9151550,2069
9744470,2070
9655351,2071
9675070,2072
9675977,2073
9313235,2074
9384193,2075
8419755,2076
9459039,2077
9457772,2078
8876050,2079
9398584,2080
9327591,2081
9289131,2082
9228849,2083
705188,2084
9328725,2085
9294588,2086
613317,2087
9233158,2088
9217546,2089
7099799,2090
9008916,2091
9146091,2092
7758012,2093
2265885,2094
9124867,2095
5859155,2096
7604127,2097
8903425,2098
8437049,2099
8812717,2100
8867372,2101
8657243,2102
8740424,2103
8802556,2104
6875599,2105
6717665,2106
8480160,2107
8715003,2108
8712730,2109
1406330,2110
8371174,2111
8631203,2112
8651459,2113
6140555,2114
2000481,2115
8623534,2116
5978204,2117
7829840,2118
8536929,2119
1902539,2120
8596032,2121
515301,2122
8458830,2123
8439536,2124
8452174,2125
8448736,2126
6256017,2127
7297312,2128
8198765,2129
8386976,2130
8371822,2131
8370357,2132
7026357,2133
8336641,2134
8359965,2135
6903161,2136
8341025,2137
8336036,2138
7538536,2139
7149305,2140
8326257,2141
7882605,2142
8298884,2143
6523845,2144
8003054,2145
8293979,2146
8270829,2147
7467266,2148
8213395,2149
8275456,2150
6191437,2151
351666,2152
648534,2153
6503958,2154
7614396,2155
8250581,2156
8255355,2157
8246346,2158
7880995,2159
8205080,2160
8216730,2161
8207343,2162
8209851,2163
8118755,2164
7411142,2165
8202686,2166
7824430,2167
6648411,2168
8186910,2169
8078015,2170
7513592,2171
8061502,2172
8044770,2173
8019382,2174
7629638,2175
5813174,2176
8041088,2177
6992282,2178
7981998,2179
7630249,2180
7763229,2181
6259027,2182
8010362,2183
7976635,2184
8004358,2185
7759595,2186
2221810,2187
7955648,2188
7949732,2189
7962464,2190
7962470,2191
7864463,2192
7905922,2193
7946589,2194
7944973,2195
7880888,2196
7926286,2197
7902230,2198
7816023,2199
7753916,2200
7454664,2201
7332170,2202
7837301,2203
7841242,2204
7767212,2205
734663,2206
7849309,2207
7261658,2208
7752545,2209
7837637,2210
7657349,2211
7264402,2212
7573857,2213
7712259,2214
7824181,2215
7820374,2216
7815608,2217
6164044,2218
7805284,2219
7807412,2220
6505799,2221
7725311,2222
7447093,2223
7800095,2224
7750588,2225
7773234,2226
7757999,2227
7764021,2228
7756396,2229
7755906,2230
7322521,2231
7191417,2232
7101716,2233
7710155,2234
6503555,2235
7705386,2236
7257852,2237
7478149,2238
7682031,2239
7593275,2240
6373540,2241
7552309,2242
7651077,2243
7638078,2244
7457687,2245
7603733,2246
7533456,2247
7587527,2248
7562747,2249
6145518,2250
7581852,2251
7573174,2252
7561690,2253
